"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"おろす";"orosu";"untuk menjual grosir, untuk memarut (misalnya sayuran), untuk memotong ikan ; untuk mencatat; untuk menjatuhkan; untuk menurunkan (tangan, bendera, penutup, dll.); untuk menjatuhkan (jangkar, tirai, dll.); untuk mengecewakan (rambut); untuk meluncurkan (perahu), untuk menurunkan (penumpang); untuk melepaskan; untuk membongkar (barang, truk, dll); untuk membongkar; untuk mengeluarkan, menarik (uang), untuk digunakan pertama kali; untuk dipakai pertama kali, untuk dipotong; untuk fillet (ikan); untuk memarut (misalnya lobak); untuk memangkas (cabang), untuk menghapus (seseorang dari suatu posisi); untuk mengusir; untuk menjatuhkan, untuk membersihkan (meja); untuk menghapus (persembahan dari altar); untuk mewariskan (misalnya pakaian lama); untuk menurunkan, untuk mengeluarkan dari tubuh (misalnya cacing); untuk menggugurkan (janin), untuk memanggil (roh); untuk menelepon ke bawah ; untuk membatalkan (janin)"
"おんけい";"onkei";"berkah; kebaikan; anugerah; keuntungan ; pola suara, gambar"
"温室";"onshitsu";"rumah kaca; konservatori"
"温泉";"onsen";"sumber air panas, onsen; resor sumber air panas; spa sumber air panas"
"温帯";"ontai";"zona sedang"
"御中";"onchuu ; onaka";"... dan Perusahaan; Tuan; untuk Perhatian dari... ; perut"
"女の人";"onnanohito";"wanita"
"か";"ka";"tambahan; meningkat, Kanada ; dapat diterima; memuaskan; diizinkan, persetujuan; mendukung; (a) memberikan suara mendukung; ya, Lulus (nilai); Adil; C; D ; departemen; bagian; fakultas; sekolah; lengan, kursus (studi); cabang studi; spesialisasi, (taksonomi) keluarga ; pelajaran, bagian (dalam suatu organisasi); divisi; departemen, konter untuk pelajaran dan bab (dari sebuah buku) ; nyamuk ; rusa (khususnya rusa sika, Cervus nippon); serviks ; ge (kapak belati Tiongkok kuno) ; rak; gunung; berdiri ; menunjukkan pertanyaan, atau; apakah, suatu- (misalnya sesuatu, seseorang), hmm; huh, sangat, -al; -ial; -ik; -ikal; -ish; -y, dengan cara itu ; tindakan membuat sesuatu; -ifikasi ; hari dalam sebulan, penghitung hari ; kondilus, penghitung untuk butiran dan bola kecil ; kelebihan-; over-, per- (bahan kimia yang mengandung lebih banyak unsur tertentu dibandingkan senyawa lain dengan unsur yang sama) ; di bawah (pengaruh, kendali, kondisi, dll. dari); selama (perang, pendudukan, dll.) ; phala (keadaan yang dicapai, hasil), pencerahan (sebagai buah dari praktik Buddhis seseorang), buah, penghitung untuk potongan buah ; -ist; -eh ; penghitung untuk sistem penghitungan ichi-ni-san (biasanya tepat sebelum benda yang dihitung); kata benda yang dibaca menggunakan on-yomi-nya ; Selasa, api (kedua dari lima elemen) ; Dinasti Xia (dari Tiongkok; sekitar 2070-1600 SM; mungkin bersifat mitologis); Dinasti Hsia ; counter untuk beban (yang dapat dipikul di bahu) ; buah, penghitung buah ; bau (khususnya bau yang enak); parfum; aroma ; minoritas; sejumlah kecil, orang yang belum menikah; janda; duda ; valensi ; mencolok; sifat mencolok; kecemerlangan; kemegahan, mekar; bunga-bunga ; bencana; kemalangan ; cantik; Bagus; bagus sekali ; kecil; keras, ketat ; menabur gandum; berkas gandum ; partikel akhir interogatif atau seruan ; bagus sekali; gembira; menguntungkan ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas ; jenis batu giok yang lebih rendah ; hiasan yang ditempelkan pada jepit rambut wanita ; biji-bijian masih menempel di tangkai; tanaman padi ; digunakan dalam transliterasi ; malapetaka, kemalangan, kejahatan, kutukan ; kopi ; segumpal tanah ; wadah, wadah peleburan ; sarang, lubang, lekukan ; kecebong ; siput ; memarahi ; aksen, dialek ; duduk dalam posisi lotus ; kemajuan yang sulit"
"貝";"kai ; bai";"kerang, kerang laut ; Babel Jepang (spesies moluska bercangkang, Babylonia japonica); Cangkang gading Jepang, bagian atas berputar (secara tradisional terbuat dari cangkang babylon Jepang)"
"開会";"kaikai";"pembukaan pertemuan"
"会館";"kaikan";"ruang pertemuan; aula pertemuan"
"改札";"kaisatsu";"pemeriksaan tiket, gerbang tiket; penghalang tiket"
"解散";"kaisan";"putus (misalnya rapat); membubarkan (misalnya kerumunan), membubarkan (perusahaan, organisasi, dll.); melikuidasi; pembubaran, pembubaran (diet, parlemen, dll.)"
"海水浴";"kaisuiyoku";"berenang di laut; mandi laut; mandi air laut; pergi berenang di laut"
"回数";"kaisuu";"berkali-kali; frekuensi; menghitung"
"回数券";"kaisuuken";"tiket kupon; tiket diskon; buku tiket"
"快晴";"kaisei";"Cuaca cerah; cuaca tidak berawan; cuaca baik"
"改正";"kaisei";"revisi; amandemen; perubahan"
"解説";"kaisetsu";"penjelasan; komentar; eksposisi"
"改造";"kaizou";"renovasi; restrukturisasi; rekonstruksi; perombakan (misalnya kabinet), modding"
"開通";"kaitsuu";"pembukaan (jalan baru, kereta api, dll.); mulai beroperasi (misalnya komunikasi telepon); memulai layanan, pembukaan kembali (misalnya jalan menuju lalu lintas); dimulainya kembali layanan"
"回転";"kaiten";"rotasi (biasanya mengelilingi sesuatu); revolusi; berputar"
"解答";"kaitou";"menjawab; larutan"
"回答";"kaitou";"membalas; menjawab"
"解放";"kaihou";"melepaskan; pembebasan; emansipasi; pengaturan bebas, dealokasi (memori komputer)"
"開放";"kaihou";"pembukaan (pintu, jendela, dll.); membiarkan terbuka, membuka (misalnya untuk umum); mengizinkan akses (publik)."
"海洋";"kaiyou";"laut"
"帰す";"kaesu ; kisu";"untuk mengirim (seseorang) kembali; untuk mengirim (seseorang) pulang ; untuk datang ke (pada akhirnya); untuk diakhiri dengan, untuk atribut; menyalahkan"
"かえって";"kaette";"di sisi lain; lebih tepatnya; alih-alih; terlebih lagi"
"代える";"kaeru";"untuk mengganti, menukar; untuk menukar, untuk menggantikan"
"家屋";"kaoku";"rumah; bangunan"
"係わる";"kakawaru";"terpengaruh; untuk dipengaruhi, untuk diperhatikan; ada hubungannya dengan, untuk dipatuhi (pendapat)"
"書留";"kakitome";"pos tercatat; pendaftaran (surat), (memakai) catatan; menulis; mencatat; registri"
"書取";"kakitori";"menulis dari bahan tertulis lainnya; menulis teks kanji dari hiragana, transkripsi (dari materi lisan); dikte"
"かきね";"kakine";"pagar, batas; membatasi"
"かく";"kaku";"goresan (kanji, dll.) ; setiap; semua ; status; posisi; peringkat, metode; jalan; gaya, aturan; peraturan; hukum, kasus gramatikal, gambar (silogisme) ; batu (dari buah); lubang; pip, core (organisasi, tim, dll.); inti; jantung, senjata nuklir, inti (atom), inti (sel), inti kondensasi, inti (planet), cincin (dalam senyawa siklik), inti, inti (dari mutiara budidaya) ; sudut, persegi; kubus, uskup, derajat ketiga (skala pentatonik Jepang dan Tiongkok), Rasi bintang "tanduk" Tiongkok (salah satu dari 28 rumah besar), jiao (satuan moneter Tiongkok; sepersepuluh yuan) ; tamu; pengunjung, pelanggan; klien; pembelanja; penonton; hadirin; turis; pelancong; penumpang, konter untuk kontainer yang digunakan untuk menjamu tamu ; untuk membuat chip; untuk mencegat; untuk memecahkan; retak, kurang ; untuk menulis; untuk pena, menggambar; melukis ; menggaruk, berkeringat, menyekop; untuk mendayung ; menggambar; melukis; untuk membuat sketsa, untuk menggambarkan; untuk mendeskripsikan, membayangkan dalam pikiran seseorang; membayangkan, membentuk bentuk tertentu (misalnya jalur suatu tindakan, penampakan suatu benda, dll.) ; daerah; seperempat, kandang; area yang dikelilingi oleh pekerjaan tanah, distrik lampu merah, luas dan kosong ; satu sama lain; Kedua; bergantian ; seperti ini; seperti; dengan demikian; lewat sini ; yakin; pasti ; kulit (misalnya kulit elektron) ; diafragma; sekitar diafragma ; untuk membawa di bahu seseorang (khususnya dua orang atau lebih membawa tandu, dll.) ; bagian sastra yang indah ; kamar, paviliun; kabinet ; memperoleh, menerima; menangkap ; menakut-nakuti; mengancam ; panen, potong gandum ; menutup telinga, menampar ; muntah ; kehati-hatian ; serang, pukul, lawan ; menangkap, merampas, menggenggam, menahan ; berbaring, letakkan ; menculik ; kotak luar untuk peti mati ; kejutan & kebingungan ; tentu, pasti, nyata, benar ; menghafal ; tiba-tiba, mencerahkan, menerangi ; cepat, tiba-tiba ; tulang yang diputihkan"
"かくう";"kakuu";"samaran; imajiner; fantastis; dibuat, udara; atas"
"各自";"kakuji";"setiap orang; setiap orang; individu; masing-masing"
"かくじゅう";"kakujuu";"ekspansi"
"各地";"kakuchi";"setiap tempat; berbagai tempat"
"かくちょう";"kakuchou";"ekspansi; perpanjangan; pembesaran, melarikan diri; ESC ; puncak cangkang; omong kosong ; nada (ucapan, tulisan, dan lain-lain); gaya"
"角度";"kakudo";"sudut"
"格別";"kakubetsu ; kakubechi";"tertentu; spesial; luar biasa; khusus, khususnya; sangat"
"かくりつ";"kakuritsu";"kemungkinan; peluang ; pembentukan; hunian ; pepatah; standar pribadi"
"かぐ";"kagu";"mebel ; untuk mengendus; untuk mencium ; sangat bodoh (orang); sangat bodoh, diri sendiri"
"掛け算";"kakezan";"perkalian"
"かけつ";"kaketsu";"persetujuan; adopsi (mosi, RUU, dll.); jalan ; persetujuan bersyarat"
"下降";"kakou";"turun; jatuh; menjatuhkan; menolak; kecenderungan untuk menurun; penurunan permukaan tanah"
"重なる";"kasanaru ; omonaru";"untuk ditumpuk; untuk berbaring di atas satu sama lain, untuk datang satu demi satu; terjadi berulang kali; menumpuk (misalnya stres); untuk terakumulasi, tumpang tindih (satu sama lain); terjadi pada waktu yang sama; untuk terjadi secara bersamaan ; utama; kepala sekolah; penting"
"重ねる";"kasaneru";"untuk menumpuk; untuk menempatkan di atas yang lain, untuk mengulangi berkali-kali; untuk melewati berulang kali; untuk terakumulasi"
"かざり";"kazari";"dekorasi; ornamen; hiasan"
"火山";"kazan";"gunung berapi"
"貸家";"kashiie ; kashiya";"rumah sewa"
"かしこまりました";"kashikomarimashita";"tentu!"
"貸し出し";"kashidashi";"pinjaman; peminjaman"
"過失";"kashitsu";"kecelakaan (akibat kelalaian); kesalahan, kesalahan; cacat"
"貸間";"kashima";"ruang untuk dibiarkan; ruang untuk disewa"
"個所";"kasho";"tempat; titik; bagian; daerah; jalan; porsi, penghitung untuk tempat, bagian, lorong, dll."
"果実";"kajitsu";"buah; kacang; beri, buah-buahan; laba"
"かじょう";"kajou";"kelebihan; kelimpahan yang berlebihan; berlimpahan ; spiral ; kondisi masyarakat awam ; sake manis; anggur yang enak ; adat keluarga ; di rak ; barang; artikel; ayat; bagian; titik"
"かじる";"kajiru";"untuk menggerogoti; untuk menggigit; menggigit; untuk mengunyah, mencoba-coba; untuk memiliki segelintir"
"下線";"kasen";"menggarisbawahi"
"課税";"kazei";"perpajakan"
"加速";"kasoku";"percepatan; mempercepat"
"加速度";"kasokudo";"percepatan"
"かたい";"katai";"keras; padat; tangguh, kaku; ketat; kayu; kasar (misalnya tulisan), kuat; tegas (tidak kental atau mudah dipindahkan), aman; stabil; jujur; tabah, keras kepala, kutu buku; resmi; pengap ; sulit; keras ; penyakit Hansen; kusta; penderita penyakit kusta ; tali pergelangan kaki (untuk mengencangkan sepatu) ; kelalaian; kecerobohan; kesalahan ; sulit, tidak mungkin, masalah, kecelakaan, cacat ; keras, tegas ; pengemis; gelandangan ; kaki bagian bawah; betis"
"固い";"katai";"keras; padat; tangguh, kaku; ketat; kayu; kasar (misalnya tulisan), kuat; tegas (tidak kental atau mudah dipindahkan), aman; stabil; jujur; tabah, keras kepala, kutu buku; resmi; pengap"
"かたかな";"katakana";"katakana; suku kata Jepang bersudut yang digunakan terutama untuk kata pinjaman"
"片付く";"kataduku";"untuk ditertibkan; untuk diberikan hak, untuk dibuang; untuk diselesaikan, untuk diselesaikan, untuk dinikahkan (mati)"
"かたまり";"katamari";"gumpalan; massa; bundel; rumpun; cluster, grup; kerumunan, perwujudan (ide, kualitas, perasaan, dll.); pengejawantahan ; bola, lingkaran; massa, gumpalan"
"固まる";"katamaru";"untuk mengeras; untuk memperkuat, menjadi kokoh; menjadi pasti, berkumpul (bersama); untuk berkumpul; untuk berkumpul bersama"
"片道";"katamichi";"sekali jalan (perjalanan), tiket sekali jalan"
"傾く";"katamuku ; katabuku ; kabuku";"untuk condong ke arah; untuk miring; untuk meluncur; untuk tumit; untuk dibuang; untuk cenderung ke arah; cenderung, terbenam (matahari); berkurang; tenggelam; untuk menolak ; untuk bersandar (khususnya sebongkah nasi yang matang); untuk condong; untuk miring; untuk memiringkan, berperilaku aneh; berpakaian aneh, untuk melakukan kabuki"
"片寄る";"katayoru";"untuk bersandar (ke satu sisi); cenderung, tidak seimbang (misalnya pola makan); terlalu ditimbang; untuk berkonsentrasi pada, bersikap memihak; menjadi bias; untuk berprasangka buruk"
"かっこ";"kakko";"tegas; tak tergoyahkan ; tanda kurung ; membentuk; angka; sikap; pose, penampilan, keadaan; situasi, cocok; bugar; masuk akal, tentang ; kakko; Drum jam pasir Jepang, dimainkan dengan tongkat di kedua sisinya, secara tradisional digunakan dalam gagaku ; mendapatkan; Bakiak kayu Jepang ; setiap orang; setiap ; setiap rumah"
"担ぐ";"katsugu";"untuk memikul; untuk memanggul di bahu, untuk mencalonkan suatu posisi; untuk memilih sebagai wakil, untuk mengajak (seseorang) jalan-jalan; untuk menipu; untuk menerima, terjebak dalam takhayul"
"活字";"katsuji";"jenis pencetakan; tipe bergerak, teks tercetak"
"かつやく";"katsuyaku";"aktivitas (khususnya energik); upaya besar; pelayanan yang mencolok, untuk berkembang; untuk berpartisipasi secara aktif; untuk berperan aktif"
"活力";"katsuryoku";"daya hidup; energi; dinamisme"
"かてい";"katei";"anggapan; hipotesa ; rumah; keluarga; rumah tangga ; kursus; kurikulum ; proses; kursus; mekanisme ; Era Katei (1235.9.19-1238.11.23) ; batang dan kelopak muskmelon (digunakan dalam pengobatan tradisional Tiongkok) ; palung"
"課程";"katei";"kursus; kurikulum"
"過程";"katei";"proses; kursus; mekanisme"
"かな";"kana";"uang, logam ; kana; Suku kata Jepang (yaitu hiragana, katakana) ; partikel akhir interogatif atau seruan ; Saya bertanya-tanya, haruskah saya melakukannya?; benarkah?, Saya berharap itu; saya harap ; Bagaimana!; Apa!; Sayang!"
"かなづかい";"kanadukai";"ortografi kana; ejaan suku kata"
"かね";"kane";"uang, logam ; bel (sering kali berupa bel gantung besar); berbunyi ; partikel akhir kalimat interogatif yang menyatakan keraguan ; kotak tukang kayu, terbalik dan bentuk L cermin (digunakan dalam logo toko tradisional dikombinasikan dengan karakter lain), tegak lurus; kelurusan, model; standar ; menghitamkan gigi, pewarna menghitamkan gigi ; gong; bel"
"加熱";"kanetsu";"Pemanasan; penerapan panas"
"かねる";"kaneru";"tidak mampu; merasa sulit (tidak menyenangkan, canggung, menyakitkan) untuk dilakukan, untuk menjalankan dua atau lebih fungsi atau peran secara bersamaan; memuat (atau menggabungkan) dua atau lebih fitur, untuk bekerja di dua atau lebih pekerjaan secara bersamaan (posisi, dll.); melakukan bersama, ragu melakukan sesuatu (karena mempertimbangkan orang lain), memikirkan masa depan (dan juga masa kini)"
"過半数";"kahansuu";"mayoritas"
"被せる";"kabuseru ; kiseru";"untuk menutupi (dengan sesuatu); untuk memakai (misalnya di kepala orang lain); untuk melapisi sesuatu (dengan logam); untuk menuangkan atau memercikkan cairan (pada sesuatu); untuk menuntut (seseorang dengan rasa bersalah) ; untuk mengenakan pakaian (seseorang); berpakaian; untuk berpakaian, untuk menutupi; untuk melapisi; ke piring; untuk menyepuh, untuk memasang pin (misalnya kejahatan terhadap seseorang); untuk berbaring (menyalahkan); untuk menuntut (dengan pelanggaran); memberi (nama buruk); untuk mengingatkan seseorang tentang (hutangnya)"
"かま";"kama";"panci besi; ketel ; kompor; perapian; tempat pembakaran ; sabit, pertanyaan utama; pertanyaan jebakan, rantai-sabit (senjata), tombak dengan bilah melengkung, duri leher angsa dan sambungan tanggam, kebisingan, bagian ikan di sekitar insang ; mendayung perahu, menebak dengan jari ; katak (khususnya katak Jepang, Bufo japonicus) ; cattail biasa (Typha latifolia); rumput gajah biasa; redmace umum"
"かみくず";"kamikuzu";"limbah kertas; secarik kertas; potongan kertas"
"神様";"kamisama";"Tuhan; dewa, as; raja; orang yang unggul; tuhan (di antara manusia)"
"かみそり";"kamisori";"pisau cukur"
"貨物";"kamotsu ; kabutsu";"muatan; pengangkutan, uang atau aset"
"かゆい";"kayui";"gatal"
"かよう";"kayou";"lagu; kidung ; Selasa ; untuk pergi ke dan dari (suatu tempat); untuk bolak-balik antara; untuk berlari di antara (misalnya bus, kereta api, dll.); untuk berjalan antara, untuk pergi ke (sekolah, bekerja, dll.); untuk menghadiri; untuk bepergian; sering, bersirkulasi (misalnya darah, listrik); untuk dikomunikasikan (misalnya pemikiran), menyerupai ; semacam ini; dari jenis ini; semacam itu; seperti ; daun bunga ; penggunaan domestik ; lobus bawah (paru-paru); lobus inferior ; wajah cantik ; merawat orang sakit; menjaga diri sendiri ; larut; pelarutan ; tersedia; dalam pelayanan ; daun teratai"
"から";"kara";"kerang; sekam; lambung kapal; polong ; kekosongan; kosong ; Rompi biksu Zen (kasaya pendek dan informal), cincin (biasanya terbuat dari gading) melekat pada rompi ini, netsuke; item yang melekat pada netsuke ; belalai; tangkai, batang (panah), pegangan ; Cina (terkadang juga digunakan untuk merujuk ke Korea atau negara asing lainnya) ; casing, cangkang, sekam ; sekam, kulit kacang ; dari (misalnya waktu, tempat, kuantitas numerik); sejak, dari (pencetus); oleh, karena; sejak, keluar dari (konstituen, bagian), melalui (misalnya jendela, ruang depan), setelah; sejak, mengungkapkan simpati atau peringatan"
"からかう";"karakau";"menggoda; untuk mengolok-olok; untuk membuat keributan; untuk sekam; untuk anak; bercanda; untuk bercanda; untuk menarik kaki seseorang"
