"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"うったえる";"uttaeru";"untuk meningkatkan; untuk menarik (perhatian seseorang), untuk menarik (akal, emosi, dll.); untuk mengerjakan (emosi seseorang); mempermainkan (simpati seseorang), mengeluh, menuntut (seseorang); untuk membawa seseorang ke pengadilan, untuk melakukan tindakan (misalnya senjata, kekerasan)"
"うつ";"utsu";"depresi; semangat rendah, subur (tumbuhan) ; untuk menembak (pada), untuk menyerang; Untuk mengalahkan; untuk menghancurkan; untuk membalas dendam ; untuk memukul; untuk menyerang; untuk mengetuk; untuk mengalahkan; memukul; menampar; untuk menggedor; bertepuk tangan; menumbuk, menyerang (siang hari, dsb.); untuk membunyikan (simbal, dll.); menabuh (drum, dll.), menabuh (secara berirama, misalnya denyut nadi, gelombang, dll.), bergerak; untuk mengesankan; untuk menyentuh, untuk mengemudi; untuk memalu; untuk memasukkan; untuk menyuntikkan; untuk memvaksinasi, mengetik; mengirim; untuk mengirimkan, untuk menyisipkan; untuk menulis; untuk menandai, untuk membuat (mie, dll.); untuk mempersiapkan, untuk mengolah (tanah), untuk memercik; untuk melempar; untuk melemparkan, untuk melakukan; untuk melaksanakan; bermain; terlibat dalam (perjudian, dll.), membayar (deposit, dll.), mengunjungi (berziarah), mengikat (mantel), mengikat (penjahat) ; berkomentar, mengkritik; grosir ; penyiksaan dan interogasi; memukul ; menumbuk, memukul; menyerang ; untuk menyerang; untuk menghukum"
"打つ";"utsu ; butsu";"untuk memukul; untuk menyerang; untuk mengetuk; untuk mengalahkan; memukul; menampar; untuk menggedor; bertepuk tangan; menumbuk, menyerang (siang hari, dsb.); untuk membunyikan (simbal, dll.); menabuh (drum, dll.), menabuh (secara berirama, misalnya denyut nadi, gelombang, dll.), bergerak; untuk mengesankan; untuk menyentuh, untuk mengemudi; untuk memalu; untuk memasukkan; untuk menyuntikkan; untuk memvaksinasi, mengetik; mengirim; untuk mengirimkan, untuk menyisipkan; untuk menulis; untuk menandai, untuk membuat (mie, dll.); untuk mempersiapkan, untuk mengolah (tanah), untuk memercik; untuk melempar; untuk melemparkan, untuk melakukan; untuk melaksanakan; bermain; terlibat dalam (perjudian, dll.), membayar (deposit, dll.), mengunjungi (berziarah), mengikat (mantel), mengikat (penjahat) ; untuk memukul (seseorang); untuk menyerang; untuk mengalahkan, menyampaikan (pidato); untuk memberikan (alamat)"
"うつす";"utsusu";"Untuk mengganti; menukar; untuk menggantikan; untuk mentransfer, untuk mengubah objek minat atau fokus, untuk menghabiskan atau meluangkan waktu, untuk menginfeksi, untuk meresapi sesuatu dengan bau atau warna sesuatu, untuk melanjutkan ke tahap berikutnya atau berbeda dari (rencana, dll.) ; untuk menyalin; untuk menggandakan; untuk mereproduksi; untuk meniru; untuk menelusuri, mendeskripsikan, ke film; untuk membayangkan; untuk memotret ; untuk memproyeksikan; mencerminkan; untuk melemparkan (bayangan) ; memindahkan, menghapus, menggeser"
"うなる";"unaru";"mengerang, mengaum; melolong; menggeram, mendengung (mesin, angin, dll.); untuk berdengung; untuk jagoan; untuk mendesah; untuk membuat suara rendah dan membosankan, untuk ooh dan aah (dalam kekaguman), menyanyi dengan suara yang kuat dan rendah (khususnya nyanyian atau bacaan tradisional), akan meledak; meluap"
"うばう";"ubau";"untuk merebut; untuk merampas; mencuri"
"馬";"uma ; ima ; oma";"kuda, balapan kuda, promosi uskup"
"うまい";"umai";"mahir; trampil; cerdik; pakar; bijak; sukses, lezat; menggugah selera; enak, beruntung; bagus sekali; menjanjikan ; variasi tarian istana (periode Nara)"
"生まれ";"umare";"kelahiran; tempat lahir, lahir di (negara, bulan, era kekaisaran, tahun zodiak, dll.)"
"うめ";"ume";"Aprikot Jepang (Prunus mume); prem Jepang; Plum Tiongkok, terendah (dari sistem peringkat tiga tingkat)"
"うらぎる";"uragiru";"untuk mengkhianati; untuk mengubah pengkhianat; untuk melakukan persilangan ganda"
"得る";"uru ; eru";"agar bisa...; dapatkah..., mendapatkan; untuk memperoleh; untuk pengadaan; untuk mendapatkan; untuk menang; untuk mengamankan; untuk mencapai ; mendapatkan; untuk mendapatkan; untuk memperoleh; untuk pengadaan; untuk mengamankan; untuk mencapai; untuk menang, untuk memahami, menerima sesuatu yang tidak diinginkan (misalnya hukuman); untuk menjadi (sakit), untuk dapat..., dapatkah..."
"うるさい";"urusai";"bising; keras, menjengkelkan; sulit; melelahkan; gigih; mendesak, rewel; pemilih; tertentu; terus-menerus; suka memerintah, diam!"
"うれしい";"ureshii";"senang; senang sekali; sangat gembira, gembira; menyenangkan; memuaskan"
"売れる";"ureru";"untuk menjual (baik), menjadi terkenal; menjadi populer; untuk menjadi terkenal"
"うわさ";"uwasa";"isu; laporan; kabar angin; gosip; pembicaraan umum"
"うん";"un";"harta benda; keberuntungan ; halo (mengelilingi Matahari, Bulan, dll); cincin; korona ; Ya; eh ya, bersenandung; hmmm; Sehat; eh; ya?, oof ; beberapa (di awal angka sebagai pengganti angka) ; katakanlah, bicaralah; awan ; pengaruh alam yang memberi kehidupan, semangat harmoni, kemakmuran ; gulma ; Sayangnya, ramuan yang digunakan mengusir serangga ; menumpuk ; Mie Jepang, (kokuji)"
"運";"un";"harta benda; keberuntungan"
"運転";"unten";"pengoperasian (mesin, dll.); Pengoperasian; berlari, mengemudi, bekerja (modal, dll.)"
"運動";"undou";"latihan; Latihan fisik; olahraga; atletik, banding; kampanye; menyetir; perang salib; pergerakan; lobi, gerakan; pergerakan"
"え";"e";"pakan ternak; makanan ternak; makanan hewan, umpan; memancing; daya tarik ; gambar; menggambar; lukisan; sketsa, gambar (TV, film, dll.); gambar; rekaman ; masuk; teluk ; menangani; pegangan, tangkai (dari jamur, daun, dll.) ; gen (salah satu trigram I Ching: gunung, timur laut) ; ya?; Apa?; Oh ya; itu benar, memperkuat pertanyaan, penegasan, dll., hei ; daerah sekitar, pantai (laut), akhiran digunakan sebagai indikator kasar lokasi, arah, waktu, dll. ; kebijaksanaan; pencerahan, prajñā (salah satu dari tiga bagian dari jalan mulia beruas delapan); kebijaksanaan ; egoma (jenis perilla); Perilla frutescens var. buah-buahan ; takdir; takdir (khususnya sebagai kekuatan misterius yang mengikat dua orang), hubungan (misalnya antara dua orang); menjalin kedekatan; tautan; koneksi, ikatan keluarga; afinitas, peluang; kesempatan (untuk bertemu seseorang dan memulai hubungan), pratyaya (kondisi tidak langsung, bukan penyebab langsung), beranda terbuka yang sempit ; pertemuan (khususnya Budha, perayaan, dll.) ; kemuliaan, kehormatan; berkembang, makmur ; -melipat; -lapis"
"えいえん";"eien";"keabadian; kelangsungan ; Era Eien (987.4.5-989.8.8)"
"えいきゅう";"eikyuu";"keabadian, era Eikyu (1113.7.13-1118.4.3)"
"えいきょう";"eikyou";"pengaruh; efek, untuk mempengaruhi; mempengaruhi; untuk mempunyai pengaruh pada; untuk berdampak; untuk memberikan efek pada ; Era Eikyo (1429.9.5-1441.2.17) ; ibu kota Inggris; London"
"えいぎょう";"eigyou";"bisnis; berdagang; operasi, penjualan"
"えいせい";"eisei";"satelit (alami); bulan, (buatan) satelit ; kebersihan; kesehatan ; kematian; sekarat ; keabadian; kelangsungan ; hidup abadi; keabadian"
"えいよう";"eiyou";"nutrisi; makanan ; kemewahan; kemegahan; kemakmuran"
"笑顔";"egao";"wajah tersenyum; senyum"
"えがく";"egaku";"menggambar; melukis; untuk membuat sketsa, untuk menggambarkan; untuk mendeskripsikan, membayangkan dalam pikiran seseorang; membayangkan, membentuk bentuk tertentu (misalnya jalur suatu tindakan, penampakan suatu benda, dll.)"
"えさ";"esa";"pakan ternak; makanan ternak; makanan hewan, umpan; memancing; daya tarik"
"円";"en ; maru";"yen (satuan moneter Jepang), lingkaran ; lingkaran, keseluruhan; utuh; penuh; lengkap, uang; adonan; moola, kandang di dalam dinding kastil, kura-kura bercangkang lunak, akhiran untuk nama kapal; akhiran untuk nama orang (khususnya bayi); akhiran untuk nama pedang, baju besi, alat musik, dll.; akhiran untuk nama anjing, kuda, dll."
"えんき";"enki";"penundaan ; basis ; peringatan 13 tahun atau lebih setelah kematian ; pengabaian; penolakan ; sepasang kompas ; kebencian; benci"
"えんぎ";"engi";"akting; pertunjukan ; pertanda; tanda keberuntungan, asal; sejarah; sebab-akibat, kemunculan bergantungan; doktrin bahwa segala sesuatu mempunyai sebab dan tidak ada sesuatu yang timbul dari ketiadaan ; Era Engi (901.7.15-923.4.11) ; drama; bermain ; popularisasi; penyederhanaan; menjelaskan dalam bahasa sederhana, penyesuaian sejarah untuk bacaan populer (khususnya bahasa Mandarin); penulisan novel sejarah"
"えんじょ";"enjo";"pendampingan; bantuan; mendukung ; surat cinta; billet-doux ; wanita glamor; wanita yang menggoda"
"演説";"enzetsu";"pidato; alamat"
"えんそう";"ensou";"tembakau; rokok, tanaman tembakau (Nicotiana tabacum) ; penampilan musik ; lingkaran dilukis dengan satu goresan dalam kaligrafi Zen ; sarang burung walet (digunakan untuk membuat sup sarang burung walet); sarang burung yang bisa dimakan ; edgewise (misalnya beban, kompresi) ; tempat berkumpul; tengah"
"えんりょ";"enryo";"menyimpan; paksaan; pengekangan; kesopanan; ketakberanian; keraguan; menahan; kebijaksanaan; perhatian, menurun; menahan diri, melihat ke depan; tinjauan ke masa depan"
"御";"o ; on ; go ; gyo ; mi ; oon ; oomu";"awalan kehormatan/sopan/rendah hati ; awalan kehormatan/sopan/rendah hati, akhiran kehormatan ; imbuhan kehormatan, awalan kehormatan ; Agustus, cantik ; Agustus (mengacu pada kaisar atau para dewa); imperial; bersifat ketuhanan"
"老い";"oi";"usia tua; orang tua; yang lama; Yang berusia"
"追い付く";"oitsuku";"untuk mengejar ketinggalan (dengan); untuk menggambar tingkat; untuk menarik bahkan; untuk mencapai, untuk mendapat kompensasi; untuk mengganti kerugian seseorang"
"王";"ou ; ookimi ; oogimi";"raja; penggaris; berdaulat, taipan; tokoh terkemuka; juara; master, king (dari pemain senior) ; kaisar; raja; pangeran"
"追う";"ou";"untuk mengejar; mengikuti setelah, mengikuti (urutan yang ditetapkan, tren, dll.), mengusir; untuk menyingkirkan; untuk mengusir, untuk mengemudi (misalnya kawanan), untuk ditekan (misalnya untuk waktu)"
"王様";"ousama";"raja"
"王子";"ouji";"pangeran, bawahan kuil Kumano"
"おうじる";"oujiru";"untuk merespon; memuaskan; menerima; untuk mematuhi; untuk melamar"
"横断";"oudan";"persimpangan; melintasi, melintasi secara horizontal; melewati barat ke timur (atau timur ke barat), memotong secara horizontal"
"終える";"oeru";"untuk menyelesaikan, untuk lulus"
"大";"oo ; dai ; ooki ; ooi ; tai";"besar; penting; serius; berat; keras, lebih tua; senior, final; pamungkas, kasar; luas; umum ; besar; sangat besar; luas; penting; serius; parah, hebat; menonjol; terkenal; dibedakan, berukuran; sebesar; ukuran, universitas, besar (misalnya ukuran porsi); opsi besar, panjang bulan (yaitu memiliki 31 hari) ; Besar; agung, lebih besar (dengan pangkat pengadilan yang setara); atas; senior, banyak; sangat banyak ; besar; hebat, lebih besar (dengan pangkat pengadilan yang setara); atas; senior ; tahun ke-n di era Taishō (1912.7.30-1926.12.25)"
"大いに";"ooini";"sangat; banyak"
"おおう";"oou";"menutupi; untuk bersembunyi; untuk merahasiakan; untuk membungkus; untuk menyamar"
"大家";"ooya ; taika ; taike";"Tuan Rumah; induk semang ; menguasai; pakar; otoritas; tokoh terkemuka, rumah besar, keluarga kaya; keluarga terhormat"
"おか";"oka";"tanah; pantai ; bukit; tinggi; bukit kecil; tempat naik daun, poin bonus diberikan kepada pemenang di akhir permainan ; uang (rusa jantan) ; bukit, gundukan"
"おき";"oki";"laut terbuka, Okinawa ; napas; pernapasan, nada; suasana hati ; Oki (bekas provinsi yang terletak di Pulau Oki di Prefektur Shimane saat ini), Oki (pulau) ; sebentar lagi, laut lepas, menjulang tinggi ke angkasa ; bara api; arang hidup"
"おく";"oku";"bagian dalam; di dalam; pedalaman; kedalaman (misalnya hutan); bagian belakang (rumah, laci, dll.); bagian bawah (misalnya hati); reses ; 10^8; 100.000.000; seratus juta ; untuk menempatkan, meninggalkan (di belakang), untuk mendirikan (organisasi, fasilitas, posisi, dll.); untuk mengatur, menunjuk (seseorang pada posisi tertentu); untuk menyewa; untuk mempekerjakan, untuk menempatkan (kepercayaan seseorang, keyakinan seseorang, dll.); untuk mengingat (dalam pikiran, dll.), meletakkan suatu alat (misalnya pena) sehingga menghentikan apa yang dilakukan seseorang dengan alat tersebut, untuk mengambil (penghuni asrama, dll.); untuk menyediakan penginapan di rumah seseorang, untuk memisahkan secara spasial atau temporal, untuk melakukan sesuatu terlebih dahulu, meninggalkan sesuatu dalam keadaan tertentu; untuk menjaga sesuatu dalam keadaan tertentu ; rumah; bangunan, atap ; ingat, renungkan; Penyimpanan ; berhenti melakukan sesuatu; untuk berhenti; untuk mengesampingkan, untuk meninggalkan apa adanya; untuk pergi sendiri, untuk mengecualikan; untuk kecuali"
"おくる";"okuru";"untuk mengirim (sesuatu); untuk mengirim; untuk mengirimkan, untuk mengambil atau mengawal (seseorang di suatu tempat); untuk mengantar (seseorang), untuk mengucapkan selamat tinggal (kepada yang meninggal); untuk mengubur, menghabiskan (waktu); untuk menjalani hidup, untuk meneruskan (di garis bawah), untuk membubuhkan okurigana ; untuk memberi (sebagai hadiah); untuk menyajikan, untuk berunding; untuk melimpahkan; untuk memberi penghargaan ; mengangkut, membawa ; hadiah, mengirim, memberi, menghadiahkan, berunding, menyajikan sesuatu"
"起こる";"okoru";"terjadi"
"おさない";"osanai";"sangat muda; kecil, kekanak-kanakan; belum dewasa"
"収める";"osameru";"untuk membayar (biaya, pajak, dll.); untuk mendedikasikan; untuk memberikan persembahan, untuk memasok, untuk menyimpan, untuk menyelesaikan; untuk mengakhiri, untuk mengembalikan (sesuatu ke tempatnya), untuk mencapai (misalnya hasil)"
"おしゃべり";"oshaberi";"mengobrol; bicara; omong kosong; basa basi; gosip, cerewet; banyak bicara; pembual; pengobrol"
"おじいさん";"ojiisan";"kakek, warga negara senior laki-laki"
"おせん";"osen";"polusi; kontaminasi ; kerupuk nasi; senbei; kerupuk jepang"
"おそらく";"osoraku";"mungkin; Saya berani mengatakannya"
"恐れる";"osoreru";"takut; untuk ditakuti"
"恐ろしい";"osoroshii";"sangat buruk; mengerikan; menakutkan, mengejutkan; menakjubkan; luar biasa besar; luar biasa"
"お互い";"otagai";"satu sama lain"
"おだやか";"odayaka";"tenang; diam; lembut; ringan, sedang; wajar; ramah tamah"
"音";"oto ; ne ; on";"suara; kebisingan; laporan, catatan, ketenaran, Pembacaan karakter turunan Cina"
"男の人";"otokonohito";"pria"
"おとる";"otoru";"menjadi lebih rendah dari; menjadi kurang pandai; tertinggal"
"お腹";"onaka";"perut"
"おに";"oni";"raksasa; setan; oni, roh orang yang sudah meninggal, orang yang mirip raksasa (yakni galak, tak kenal lelah, tanpa belas kasihan, dll.), itu (dalam permainan kejar-kejaran, petak umpet, dll.), Rasi bintang "hantu" Cina (salah satu dari 28 rumah besar), sangat; super-"
"お昼";"ohiru";"makan siang, siang; tengah hari, siang hari, bangun; kenaikan"
"おび";"obi";"obi; selempang kimono, pembungkus kertas untuk buku, CD, dll., pita; sabuk; strip, cingulum, program radio atau televisi yang disiarkan dalam slot waktu yang sama sepanjang atau hampir setiap hari"
"おぼれる";"oboreru";"untuk berjuang di dalam air; tenggelam di bawah permukaan dan tidak bisa bernapas; untuk (hampir) tenggelam, untuk menikmati; kehilangan akal karena sesuatu; menjadi kecanduan; untuk berkubang"
"おまえ";"omae";"kamu, kehadiran (dewa, bangsawan, dll.)"
"おめでとう";"omedetou";"Selamat!; bagus sekali!; semoga sukses!; semua yang terbaik! ; Permen Jepang yang terbuat dari beras ketan dan pasta kacang azuki"
"お目に掛かる";"omenikakaru";"untuk bertemu (seseorang yang berstatus lebih tinggi), untuk dikenali (khususnya oleh seseorang yang berstatus lebih tinggi); untuk terlihat; untuk dilihat; untuk diperhatikan"
"思い出";"omoide";"memori; kenangan"
"面";"omote ; tsura ; men ; dura";"masker wajah, permukaan, (khususnya masker noh atau kyogen) ; menghadapi; mug, permukaan, daging pipi, pipi, daerah sekitarnya ; masker; pelindung wajah, (dalam kendo) memukul kepala, permukaan (khususnya permukaan geometris), halaman, aspek; segi; sisi, talang, penghitung untuk objek, tingkat, atau tahapan yang luas dan datar, misalnya. dalam permainan video ; tampak seperti...; bertindak seolah-olah..."
"表";"omote ; hyou";"permukaan, wajah (yaitu sisi yang terlihat dari suatu objek), depan (bangunan, dll.); sisi depan (yaitu "kepala") koin, di luar; eksterior, penampilan, publik, babak pertama (sebuah inning); atas (dari sebuah inning), penutup (untuk tikar tatami, dll.), latar depan, Sekolah upacara minum teh Omotesenke ; meja; bagan; daftar, peringatan untuk seorang kaisar"
"主に";"omoni";"terutama"
"思わず";"omowazu";"secara tidak sadar; tanpa sadar; secara naluriah; secara refleks; secara spontan; secara tidak sengaja; terlepas dari diri sendiri"
"おや";"oya";"induk; orang tua; ibu dan ayah, dealer (dalam kartu, mahjong, dll.); bankir, pendiri; penemu, (hewan peliharaan) pemilik, kunci; organisasi orang tua); utama, leluhur; nenek moyang ; Oh!; Oh?; ku!"
"泳ぎ";"oyogi";"renang"
"およそ";"oyoso";"tentang; dengan kasar; kira-kira, umumnya; secara keseluruhan; sebagai aturan, sepenuhnya; lumayan; sama sekali; tidak sama sekali (dengan kata kerja neg.), garis besar; inti"
"およぼす";"oyobosu";"untuk mengerahkan (mempengaruhi); Latihan; menyebabkan (misalnya kerusakan); untuk melakukan (misalnya merugikan); untuk mewujudkan (misalnya manfaat); untuk memperpanjang; untuk mempunyai efek (pada)"
