"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"話";"hanashi ; wa";"bicara; pidato; mengobrol; percakapan, topik; subjek, diskusi; perundingan; argumen, rumor; bicara; desas-desus, kisah; cerita; dongeng, keadaan; rinciannya ; counter untuk cerita, episode serial TV, dll."
"話す";"hanasu";"untuk berbicara; berbicara; ngobrol, mengatakan; untuk menjelaskan; untuk menceritakan; menyebutkan; untuk menggambarkan; berdiskusi, berbicara (bahasa)"
"はやい";"hayai";"cepat; gegabah, pagi-pagi (di siang hari, dsb.); prematur, (terlalu) segera; Belum; (terlalu) dini, mudah; sederhana; cepat ; cepat, tergesa-gesa, tiba-tiba"
"はる";"haru";"musim semi, Tahun Baru, prima (kehidupan); tinggi badan (kemakmuran seseorang); masa kejayaan, masa remaja; pubertas, seksualitas; hasrat seksual ; untuk tetap; untuk menempelkan; untuk membubuhkan, untuk meregangkan; untuk menyebar; untuk menyaring; untuk mengencangkan; untuk memasang (tenda), untuk membentuk (misalnya es di kolam), untuk diisi; membengkak, menonjol; untuk menempatkan; menampar, memposting (tautan, dll. secara online), menjadi mahal, untuk terus mengawasi; untuk waspada, menjadi satu ubin lagi dari penyelesaian, untuk menjangkau; untuk menghasilkan ; melakukan"
"はれ";"hare";"Cuaca cerah, formal; upacara; publik, bebas dari kecurigaan ; pembengkakan; mendidihkan ; Hah?; Apa?; Astaga!; kebaikan!"
"はれる";"hareru";"membengkak (karena peradangan); menjadi bengkak ; untuk menjernihkan; untuk membersihkan; menjadi cerah; untuk menghentikan hujan, untuk menyegarkan (misalnya roh), untuk dibersihkan (misalnya dari kecurigaan), untuk dihilangkan; untuk dibuang"
"半";"han";"setengah, setengah lewat, angka ganjil, satuan luas tanah (595,8 m^2)"
"半分";"hanbun ; hanpun";"setengah ; setengah menit"
"ばん";"ban";"nomor (dalam satu seri), giliran(seseorang), jam tangan; penjaga; pengintai, peringkat; kedudukan; posisi, pertarungan; korek api, potongan (dalam koleksi) ; segel; stempel; tanda tangan monogram, penilaian, ukuran (kertas atau buku) ; edisi; Versi: kapan; pencetakan; kesan; implementasi (misalnya perangkat lunak), pelat; memblokir; pemeran, edisi suatu terbitan ; malam, makan malam, konter untuk malam hari ; cakram; catatan; tampilan jam, baki; mangkuk dangkal, kisi; papan (misalnya dalam shogi) ; pataka (spanduk) ; tegalan (Gallinula chloropus); ayam air; gallinule ; orang barbar; biadab ; menarik; tarik kembali ; malam; terlambat ; sama sekali; sangat"
"ばんごう";"bangou";"nomor; serangkaian angka ; keabadian"
"ばんごはん";"bangohan";"makan malam"
"東";"higashi ; himukashi ; hingashi ; ton ; azuma ; aduma";"timur ; ubin angin timur, tangan pemenang dengan pung (atau kong) ubin angin timur ; Jepang bagian timur (khususnya Kamakura atau Edo, dari sudut pandang Kyoto atau Nara); provinsi timur, timur, gerobak; yamatogoto; sitar asli Jepang senar enam, pasangan saya"
"ひく";"hiku";"untuk menarik; memimpin (misalnya seekor kuda), menarik (perhatian, simpati, dll.); untuk menarik (misalnya minat), menarik kembali (misalnya tangan seseorang); untuk menarik (dagu, perut, dll.); menarik, menggambar (kartu, ubin mahjong, dll.), menggambar (garis, rencana, dll.), menangkap (flu), memainkan (alat musik gesek atau keyboard), mencari ( dalam kamus, buku telepon, dll.); untuk berkonsultasi; untuk memeriksa, untuk mengangkut; untuk menarik (kendaraan), untuk mengurangi, surut; memudar, berasal dari; mewarisi (suatu karakteristik), mengutip; untuk menaikkan (sebagai bukti), untuk meletakkan (listrik, gas, dll.); untuk menginstal (misalnya telepon); untuk menyediakan (misalnya air), untuk memegang (misalnya catatan), untuk mengaplikasikan (misalnya lipstik); untuk minyak (misalnya wajan); untuk melakukan waxing (misalnya lantai), untuk bergerak mundur; untuk mundur; untuk surut, untuk mengurangi; mereda; surut; untuk turun (misalnya bengkak), mengundurkan diri; untuk pensiun; berhenti ; untuk bermain (instrumen senar atau keyboard) ; untuk menabrak (dengan kendaraan); untuk merobohkan ; untuk menarik (perhatian, simpati, dll.); untuk menarik (misalnya minat) ; untuk melihat, untuk menggiling (misalnya biji kopi); ke penggilingan"
"ひくい";"hikui";"rendah (peringkat, derajat, nilai, konten, kualitas, dll.), rendah (posisi); dekat dengan tanah, pendek (tinggi), dalam (suara); dengan nada rendah; volume rendah)"
"ひこうき";"hikouki";"pesawat terbang"
"左";"hidari ; sa";"kiri; sisi kiri ; kiri (khususnya dalam tulisan Jepang vertikal); pengikut"
"一つ";"hitotsu";"satu, untuk satu hal, hanya, (tidak) genap, hanya (misalnya "coba saja"), semacam; satu jenis"
"ひま";"hima";"celah; spasi, istirahat; selingan; interval, celah (dalam baju besi seseorang, baju besi); peluang; titik lemah, pelanggaran (hubungan antar manusia) ; waktu luang; waktu senggang, waktu (misalnya waktu yang diperlukan untuk melakukan sesuatu), waktu istirahat; libur; liburan; hari libur; pergi, berhenti (pekerjaan seseorang); memecat seseorang; menceraikan (pasangan), (menjadi) tidak aktif; (urusan seseorang) lambat, pergi; berangkat ; berlumuran darah ; pabrik minyak jarak"
"百";"hyaku ; momo";"ratus; 100 ; ratus; 100, (sangat) banyak"
"ひる";"hiru";"siang; tengah hari, siang hari, makan siang ; untuk mengusir (dari tubuh); untuk mengeluarkan; untuk buang air besar; Melahirkan ; bersin ; tanaman yang dapat dimakan dan berbau tajam (khususnya tanaman keras dari keluarga Liliaceae, misalnya bawang merah Welsh, bawang putih, rocambole liar, dll.) ; untuk menampi (biji-bijian) ; kering ; lintah"
"ひるごはん";"hirugohan";"makan siang"
"ひろい";"hiroi";"luas; lebar ; lebih rendah (dengan pangkat pengadilan yang setara); lebih rendah; muda ; mengambil; seseorang yang mengambil sesuatu, mengetik memetik (cetakan letterpress), berjalan (dari seorang bangsawan) ; berwawasan luas"
"びょういん";"byouin";"RSUD; klinik; kantor dokter; bedah dokter; rumah sakit ; penyebab suatu penyakit"
"びょうき";"byouki";"penyakit (biasanya tidak termasuk penyakit ringan, misalnya flu biasa); penyakit, kebiasaan buruk; kelemahan; gagal, gila; terganggu; sakit di kepala"
"ふうとう";"fuutou";"amplop ; gula maple ; angin dan ombak, gelombang yang diaduk oleh angin ; jatuh karena angin kencang; terguling oleh angin"
"ふく";"fuku";"untuk menghapus; kering ; meniup (angin), meniup (nafas seseorang); untuk bernapas; untuk meniup (teh panas, lilin, dll.); mengepul, memainkan (alat musik tiup); meniup (peluit, terompet, dsb.); bersiul (nada), memancarkan (asap, api, dll.); untuk menyemburkan; untuk memuntahkan; untuk menggembung, untuk bertunas; untuk mengeluarkan (tunas), muncul (di permukaan); untuk membentuk; untuk dilapisi (bubuk, karat, dll.), hingga tertawa terbahak-bahak; tertawa terbahak-bahak, membual; untuk berbicara besar, untuk mencium; untuk mencetak ; asisten; rekan; keburukan-; sub-; wakil; pengganti; bantu; tambahan; jaminan, rangkap; salin, kata keterangan ; pakaian (khususnya pakaian Barat), penghitung dosis obat, seteguk teh, tarikan rokok, dll. ; nasib baik; kebahagiaan; anugerah; semoga beruntung ; menggabungkan; gabungan; banyak; ulang-; bi-, ganda (tenis, bulu tangkis, dll.), taruhan tempat (dalam pacuan kuda, dll.); tampilkan taruhan; taruhan yang memprediksi finis 2 teratas atau 3 teratas (tergantung pada jumlah kuda, dll. dalam perlombaan) ; untuk atap (rumah dengan beberapa bahan); ke jerami; untuk sirap; untuk ubin ; gulir, penghitung untuk gulungan ; untuk memancarkan; untuk menyemburkan; untuk menyembur; mendidih ; penyembunyian (keburukan seseorang); kerudung; penutup, terbalik; terguling ; ikan buntal; meniup ikan; fugu; ikan globe; ikan membengkak ; berjongkok, merangkak, bersembunyi, menyembunyikan ; kelelawar ; pembungkus kain"
"二つ";"futatsu";"dua"
"二人";"futari ; ninin";"dua orang; pasangan"
"二日";"futsuka";"hari ke-2 setiap bulan, 2 hari"
"ふとい";"futoi";"gemuk; tebal, dalam (dari suara); tebal; nyaring, berani; tidak tahu malu; kurang ajar ; rumput gajah batang lunak (Scirpus tabernaemontani)"
"ふゆ";"fuyu";"musim dingin"
"ふる";"furu";"jatuh (hujan, salju, abu, dll.); turun, membentuk (embun beku), menyiarkan (sinar matahari atau cahaya bulan); untuk menuangkan, mengunjungi (keberuntungan, kemalangan, dll.); datang; untuk tiba ; melambai; untuk mengguncang; untuk berayun, untuk memercikkan; melempar (dadu), melemparkan (aktor); untuk mengalokasikan (pekerjaan), untuk menolak (seseorang); menolak; untuk menolak; untuk membuang, meninggalkan; menyerah; merusak, menambahkan kana yang menunjukkan pembacaan sebuah kata, untuk sedikit mengubah judul; untuk mengubah arah, untuk mengekstraksi dengan cara dipanggang; untuk menyiapkan infus; untuk merebus, untuk dibawa dengan penuh semangat (misalnya kuil portabel), untuk mengangkat suatu topik; untuk mengarah ke topik, untuk menggantikan, membuat lelucon untuk orang lain ; pegangan kapak ; menjadi tua ; barang bekas, lama; digunakan; sebelumnya"
"古い";"furui";"tua; berumur; kuno; antik; usang, lama; sejak lama; dihormati waktu, dari masa lalu yang jauh; sudah lama, basi; usang; klise, kuno; kadaluarsa"
"ふろ";"furo";"mandi; bak mandi; kamar mandi, pemandian; pemandian umum, ruang untuk mengeringkan barang-barang pernis, alas (sambungan kayu yang menghubungkan bilah cangkul, sekop, dll., ke gagangnya) ; kompor portabel yang digunakan untuk upacara minum teh selama musim panas"
"ぶたにく";"butaniku";"babi"
"ぶんしょう";"bunshou";"menulis; komposisi; karangan; artikel; jalan; prosa; (menulis) gaya, kalimat ; Menteri Pendidikan, Ilmu Pengetahuan dan Kebudayaan ; Era Bunshō (1466.2.28-1467.3.5) ; pembagian tugas"
"へや";"heya";"ruang; kamar, apartemen; datar; bantalan, stabil"
"へん";"hen";"aneh; penasaran; eksentrik; lucu; mencurigakan, tak terduga, perubahan, insiden; gangguan; bencana; kecelakaan, datar ; kompilasi (dari sebuah teks); penyuntingan, volume (sebuah teks), karya sastra yang telah selesai ; daerah; sekitarnya; wilayah, sisi; keadaan tepi ; berkali-kali ; akhiran yang digunakan untuk meniadakan kata kerja dalam bentuk bukan lampau, huh; hmph ; counter untuk sisa, pecahan, kelopak, dll. ; membalas; menjawab ; tingkat, kecil ; berkibarnya bendera ; kalus, jagung ; kelelawar ; sempit, kecil ; merendahkan, meremehkan, menurunkan ; tepi, margin, samping, batas ; menipu ; radikal kiri dari suatu karakter"
"べんきょう";"benkyou";"belajar, ketekunan, diskon; pengurangan"
"べんり";"benri";"nyaman; berguna ; pengelolaan"
"ほう";"hou";"informasi; berita; laporan, hadiah; retribusi ; arah; jalan; samping; area (dalam arah tertentu), sisi (argumen, dll.); bagian, tipe seseorang; kategori, bidang (studi, dll.), menunjukkan satu sisi perbandingan, cara; metode; tata krama; berarti, panjang (setiap sisi persegi) ; hukum; bertindak; prinsip, metode, suasana hati, dharma; hukum ; senjata; meriam; artileri ; jubah berleher bulat yang dikenakan oleh anggota bangsawan dan istana kekaisaran ; bract (daun) ; peng (dalam mitologi Tiongkok, burung raksasa dikatakan berubah dari ikan) ; Oh; ho; seruan kaget, kagum, dll., hoo (panggilan burung hantu); toot (suara seruling) ; Saya terkejut ; letakkan, lepaskan, bebaskan ; mengunjungi; bertanya ; harum; berbudi luhur; cantik ; merangkul, berpegangan tangan ; rahim, plasenta, selaput janin ; meniru ; pecah, terpecah, runtuh ; makan dengan sepenuh hati; makan sepuasnya ; memuji, menghormati, mengutip ; menjahit, memperbaiki ; tahan dengan dua tangan ; tunas ; ayolah, temuilah; memuji ; pembungkus selungkup, pembungkus radikal (no. 20) ; radikal penutup kotak di sisi (no. 22) ; menggonggong, mengaum, marah ; membantu ; dapur ; bengkak, suara gendang ; tersesat, mengembara, berkeliaran ; melemparkan ; bakar, panggang ; rebus, masak ; sinyal api ; email ; cacar, melepuh ; suara batu saling bertabrakan, boron ; jenis ikan air tawar ; gaji ; feng (burung api Cina jantan) ; titik (pedang, dll.), serangan verbal yang runcing"
"ほか";"hoka";"lainnya (tempat, benda, orang); sisanya; dkk., luar; di luar, tidak ada kecuali; tidak ada, tapi; tidak lain adalah; tidak ada apa pun selain; tidak ada pilihan (selain), selain...; sebagai tambahan..."
"ほしい";"hoshii";"diinginkan; diharapkan; membutuhkan, Saya ingin (Anda) melakukannya ; nasi rebus kering digunakan terutama sebagai bekal pasukan samurai dan musafir (musafir)"
"ほそい";"hosoi";"tipis; ramping; baiklah, sial ; baik, halus; menit; anggun"
"ほんだな";"hondana";"rak buku ; kantor pusat; toko utama; toko andalan, toko ini; toko kami"
"ほんとう";"hontou";"pulau utama, pulau ini ; kebenaran; realitas; aktualitas; fakta, benar; Kanan; resmi, asli; autentik; nyata; alami; benar ; cabang utama dari sebuah keluarga, kebenaran; realitas ; mencuri rumah ; terbalik ; melonjak (misalnya harga); melompat; ledakan; perjalanan tiba-tiba"
"ぼうし";"boushi";"topi ; pencegahan; memeriksa ; publikasi tertentu ; ujung di ujung pedang ; mendiang kakak perempuan seseorang ; anak mati ; melihat dari samping, melihat ke samping ; orang tertentu; orang yang tidak disebutkan namanya; Tuan Anu; seseorang tertentu yang tidak akan disebutkan namanya ; pemintalan; kapas pintal (wol) ; mata; murid"
"まいあさ";"maiasa";"setiap pagi"
"毎週";"maishuu";"setiap minggu"
"毎月";"maitsuki ; maigetsu";"setiap bulan; bulanan"
"毎年";"maitoshi ; mainen";"setiap tahun; tahunan"
"毎日";"mainichi";"setiap hari"
"まいばん";"maiban";"setiap malam"
"まがる";"magaru";"untuk membungkuk; untuk melengkung; angin; memelintir, membelok, menjadi serba salah; menjadi miring; menjadi bengkok"
"まずい";"mazui";"buruk (rasa); tak enak; buruk; buruk sekali; sangat buruk; tidak menyenangkan, buruk; tidak terampil; ceroboh; kikuk, jelek; kurang menarik; bersahaja; polos, canggung; bermasalah; sulit; tidak menguntungkan; tidak bijaksana ; kualitas buruk; jelek; kasar, tidak terampil; tdk cakap; kurang bijaksana; tidak kompeten; konyol; kikuk, sial"
"また";"mata";"selangkangan; kruk; kunci paha; paha, garpu (di pohon, jalan, sungai, dll.); tines (dari garpu) ; lagi; sekali lagi; lain waktu, juga; demikian juga; demikian pula, di sisi lain; sementara, dan; Selain itu; di samping itu; lebih-lebih lagi; selanjutnya, atau; jika tidak, sungguh; Bagaimana; (apa, mengapa) di bumi, tidak langsung ; vokal (dalam aksara Siddham) ; selangkangan pohon"
"まだ";"mada";"tetap; masih; hanya, (belum), lebih; (lebih) masih, setidaknya; relatif, belum selesai; tidak lengkap"
"まち";"machi";"kota; memblokir; lingkungan, pusat kota; jalan utama, jalan, 109,09 m, 0,99 hektar ; menunggu; waktu tunggu, tunggu ubin; ubin yang akan melengkapi tangan seseorang ; buhul"
"まっすぐ";"massugu";"lurus kedepan; langsung; jujur; tegak, lurus; jujur"
"まつ";"matsu";"pohon pinus (Pinus spp.), tertinggi (dari sistem peringkat tiga tingkat) ; menunggu, menunggu; untuk dinantikan; untuk mengantisipasi, untuk bergantung pada; membutuhkan ; ujung (dari), bubuk ; mengolesi, mengaplikasikan, menyeka, menghapus ; harus, perlu; momen; cambang"
"まど";"mado";"jendela ; meja, potongan kayu pipih, slip, daun"
"まるい";"marui";"bulat; bundar, melengkung; halus, harmonis; tenang; ramah; ramah tamah ; pohon chinaberry, bulat, serasi"
"万";"man ; yorozu ; ban";"10.000; sepuluh ribu, segudang, semuanya; semua, berbagai ; sama sekali; sangat"
"まんねんひつ";"mannenhitsu";"pulpen"
"みがく";"migaku";"menyemir; bersinar; untuk menyikat (misalnya gigi); untuk menggiling (misalnya lensa), untuk menyempurnakan (misalnya keterampilan); meningkatkan; untuk mengolah ; Polandia"
"右";"migi";"Kanan; sisi kanan, yang disebutkan di atas (khususnya dalam tulisan Jepang vertikal); sebelumnya; meninggalkan; di atas"
"みじかい";"mijikai";"pendek, singkat"
"水";"mizu ; sui";"air (khususnya air dingin dan segar, misalnya air minum), cairan (khususnya dalam jaringan hewan); cairan, banjir; air banjir, air diberikan kepada pegulat sesaat sebelum pertarungan, istirahat diberikan kepada pegulat yang terlibat dalam pertarungan berkepanjangan ; Rabu, es serut (disajikan dengan sirup rasa), air (seperlima dari lima unsur)"
"店";"mise ; ten ; tana";"toko; pembentukan; restoran ; toko; restoran ; rumah pedagang, rumah kontrakan, toko"
"見せる";"miseru";"memperlihatkan; menampilkan"
"道";"michi ; dou ; di";"jalan; jalur, rute; cara, jarak; perjalanan, jalan (misalnya menuju kemenangan); jalan, cara (hidup, perilaku yang baik, dll.); prinsip-prinsip moral, ajaran (khususnya Konfusianisme atau Budha); bidang dogma, (misalnya kedokteran); subjek; spesialisasi, berarti; jalan; metode ; jalan; jalur; rute, cara; serangkaian praktik; aturan berperilaku, Ajaran Buddha, Taoisme, wilayah administratif modern Jepang (Hokkaido), wilayah administratif sejarah Jepang (Tokaido, Tosando, dll.), provinsi (wilayah administratif era Tang di Tiongkok), provinsi (wilayah administratif modern Korea) ; jalan, jalan menuju..."
"三日";"mikka";"hari ke-3 setiap bulan, 3 hari"
"三つ";"mittsu ; mitsu";"umur tiga, tiga tahun"
"みどり";"midori";"hijau, tanaman hijau (khususnya tanaman hijau segar) ; hijau; klorin"
"みなさん";"minasan";"semua; setiap orang; semua orang"
"南";"minami ; nan";"selatan ; ubin angin selatan, tangan pemenang dengan pung (atau kong) ubin angin selatan"
"耳";"mimi";"telinga, pendengaran, tepi; kerak, selvedge (tepi kain yang tidak berjumbai); tepi tenunan yg dianyam"
"みる";"miru";"untuk menjaga (seringkali secara medis); untuk mengurus ; untuk melihat; mengamati, memeriksa; untuk melihat; untuk menilai; untuk memeriksa; untuk menghakimi, untuk menjaga; untuk menghadiri; untuk mengurus; untuk mengawasi, pengalaman; bertemu dengan (kemalangan, kesuksesan, dll.), mencoba...; untuk mencoba...; untuk memberi... mencoba, melihat (itu)...; untuk menemukan (itu)... ; untuk memeriksa (secara medis) ; rumput laut rusa (Codium rapuh); jari laut hijau; jari orang mati; jari-jari yang terasa; ganggang flanel bercabang; spons rumput laut; spons hijau; bulu hijau; pencuri tiram ; untuk berkeliling ; mengawasi, mengarahkan"
"みんな";"minna";"setiap orang; semua orang; semua, semuanya; semua"
"むいか";"muika";"tanggal 6 setiap bulan, 6 hari"
"むこう";"mukou";"sisi yang berlawanan; sisi lain; arah berlawanan, di sana; seperti itu; menjauh; di luar, pihak lain; orang lain, masa depan (mulai sekarang) ; tidak sah; ruang kosong; tidak efektif; tidak tersedia ; bersifat astomatosa"
"むずかしい";"muzukashii";"sulit; keras; rumit; serius (penyakit, masalah, dll.), tidak mungkin; tidak layak, rewel; tertentu; sulit untuk menyenangkan; tidak senang, suram; murung; cemberut; serius (lihat), kotor; najis; menjijikkan, tidak menyenangkan; tidak nyaman; menakutkan; menyeramkan ; sulit, tidak mungkin, masalah, kecelakaan, cacat"
"むっつ";"muttsu";"enam, enam tahun, jam enam (sistem waktu lama)"
"むら";"mura";"desa ; ketidakrataan (warna, cat, dll.); ketidakteraturan; ketidakseragaman; bercak, ketidakmerataan (kualitas, hasil, perilaku, dll.); inkonsistensi; ketidakstabilan, ketidakstabilan; ketidakteraturan; kegelisahan ; mengumpulkan"
"目";"me ; moku";"mata; bola mata, penglihatan, lihat; menatap; tatapan; sekilas, perhatian; pengamatan; mata (dunia, publik, dll.), pengalaman, sudut pandang, diskriminasi; kearifan; pertimbangan; mata (misalnya untuk kualitas), penampilan, peluang untuk sukses; kemungkinan, jarak (antara untaian jaring, jaring, dll.); pembukaan; jahitan; tekstur; menenun, butiran (dari kayu), mata (dari badai, jarum, dll.), persimpangan (di papan go); kotak (di papan catur), titik (di dadu); pip; nomor urut, kelulusan; pembagian (skala), gigi (gergaji, sisir, dll.), akhiran bilangan urut, agak; -ish, point (misalnya perubahan) ; pesanan, barang (revisi anggaran, dll.), penghitung untuk potongan; counter untuk posisi dikelilingi (dalam perjalanan)"
"めがね";"megane";"kacamata, penghakiman; pertimbangan; diskriminasi; kearifan; wawasan"
"もう";"mou";"Sekarang; segera; tak lama kemudian; saat ini, sudah; belum; sekarang; (tidak) lagi, lebih lanjut; lagi; lain; yang lain, ck; sialan; ya ampun; Ayo; apa-apaan ; ketidaktahuan, menutupi; menyembunyikan, Mongolia ; sangat energik, ganas, ekstrim; berat ; seperseribu; 0,03 mm (seperseribu matahari); 0,01 persen (seperseribu wari); 3,75 miligram (seperseribu monme), satuan moneter lama (0,0001 yen) ; jaringan ; kebutaan ; pohon lemon ; gelap"
"もういちど";"mouichido";"sekali lagi; lagi"
"もくようび";"mokuyoubi";"Kamis"
"もっと";"motto";"lebih lagi; bahkan lebih; lebih lama; lebih jauh"
"もつ";"motsu";"untuk memegang (di tangan seseorang); untuk mengambil; untuk membawa, memiliki; untuk memiliki, untuk memelihara; untuk menjaga, agar bertahan lama; menjadi tahan lama; untuk menjaga; untuk bertahan hidup, untuk mengambil alih; bertugas, mengadakan (rapat, dsb); untuk memiliki (peluang, dll.), memiliki "itu"; untuk memiliki sesuatu yang istimewa; agar diberkati dengan keberuntungan ; untuk menjaga; untuk melestarikan; untuk memegang; untuk mempertahankan; untuk menopang, untuk bertahan; untuk menjaga kesehatan (makanan); untuk dipakai dengan baik; agar tahan lama ; isi perut; jeroan ayam itik; nyali; organ dalam"
"下";"moto ; shita ; ge ; shimo ; ka";"di bawah (bimbingan, pengawasan, aturan, hukum, dll.), di bawah (bendera, matahari, dll.); di bawah, dengan (misalnya satu pukulan); pada (janji, syarat, asumsi, dsb. bahwa...); di sisi (misalnya nama), (seseorang); lokasi (seseorang). ; di bawah; turun; lebih muda (misalnya anak perempuan), bawah, bawah; di bawah, tepat setelahnya; tepat setelah, inferioritas; inferior seseorang (yaitu juniornya), tukar tambah, pendahuluan; persiapan ; rendahnya (derajat, nilai, dll.); inferioritas, volume kedua (dari dua); volume ketiga (dari tiga) ; bagian hilir (sungai), dasar; bagian bawah, bagian bawah (tubuh, khususnya kemaluan); kotoran (feses); air seni; menstruasi, berakhir; jauh dari istana kekaisaran (yaitu jauh dari Kyoto, khususnya Jepang bagian barat), kotor (misalnya lelucon kotor, dll.) ; di bawah (pengaruh, kendali, kondisi, dll. dari); selama (perang, pendudukan, dll.)"
"本";"moto ; hon";"asal; sumber, basis; dasar; akar, penyebab, bahan; basis; mencampur; stok, sisi (seseorang); lokasi (seseorang), biaya awal (atau modal, pokok, dll.), (tanaman) akar; (pohon) batang, bagian pertama waka, penghitung untuk bilah rumput, batang pohon, dll., dan untuk elang (di elang), pegangan (sumpit, kuas, dll.); pegangan ; buku; volume; skrip, ini; sekarang, utama; kepala, nyata; biasa, penghitung untuk benda berbentuk silinder panjang; counter untuk film, acara TV, dll.; serangan balik untuk gol, home run, dll.; counter untuk panggilan telepon"
"もの";"mono";"orang ; benda; obyek; artikel; hal-hal; substansi, barang seseorang; harta benda; Properti; barang-barang, barang; sesuatu; apa pun; semuanya; tidak ada, kualitas, alasan; cara, digunakan untuk menekankan emosi, penilaian, dll.; digunakan untuk menunjukkan kejadian umum di masa lalu (setelah kata kerja dalam bentuk lampau); digunakan untuk menunjukkan kecenderungan umum; digunakan untuk menunjukkan sesuatu yang seharusnya terjadi, item yang diklasifikasikan sebagai...; item yang berhubungan dengan...; bekerja dalam genre..., penyebab...; menyebabkan..., entah bagaimana; agak; untuk beberapa alasan, sungguh; sungguh-sungguh ; menunjukkan alasan atau alasan, menunjukkan ketidakpuasan; menunjukkan keinginan untuk dimanjakan atau dimanjakan ; seseorang, orang"
"もん";"mon";"lambang (keluarga); lambang, pola; angka ; orang ; benda; obyek; artikel; hal-hal; substansi, barang seseorang; harta benda; Properti; barang-barang, barang; sesuatu; apa pun; semuanya; tidak ada, kualitas, alasan; cara, digunakan untuk menekankan emosi, penilaian, dll.; digunakan untuk menunjukkan kejadian umum di masa lalu (setelah kata kerja dalam bentuk lampau); digunakan untuk menunjukkan kecenderungan umum; digunakan untuk menunjukkan sesuatu yang seharusnya terjadi, item yang diklasifikasikan sebagai...; item yang berhubungan dengan...; bekerja dalam genre..., penyebab...; menyebabkan..., entah bagaimana; agak; untuk beberapa alasan, sungguh; sungguh-sungguh ; gerbang, cabang pembelajaran berdasarkan ajaran satu master, divisi; filum, penghitung meriam ; counter untuk pertanyaan ; senin; seperseribu kan (satuan mata uang 1336-1870), mon; unit tradisional yang digunakan untuk ukuran sepatu dan kaus kaki (kira-kira 2,4 cm), huruf; karakter; kalimat, kitab suci; mantera ; menunjukkan alasan atau alasan, menunjukkan ketidakpuasan; menunjukkan keinginan untuk dimanjakan atau dimanjakan ; rasa sakit; derita"
"もんだい";"mondai";"pertanyaan (misalnya pada ujian); masalah, masalah (misalnya kemasyarakatan, politik); pertanyaan; masalah; subjek (misalnya penelitian); kasus, pertanyaan (yaitu keraguan), diskusi publik; kontroversi, masalah; ketidaknyamanan; kesulitan"
"やおや";"yaoya";"penjual sayur; toko buah dan sayur"
"やさい";"yasai";"sayur-mayur"
"やさしい";"yasashii";"mudah; polos; sederhana ; lembut; baik; anggun; penuh kasih sayang; ramah"
"安い";"yasui";"murah, tenang; diam"
"休み";"yasumi";"istirahat; reses, liburan; hari libur; ketiadaan; suspensi, dormansi (ulat sutera sebelum berganti kulit)"
"休む";"yasumu";"tidak hadir; untuk mengambil hari libur, untuk beristirahat; untuk istirahat, tidur; untuk (berbaring) tidur; untuk menyerahkan; untuk pensiun, berhenti melakukan aktivitas berkelanjutan untuk sementara waktu; untuk menghentikan bisnis"
"八つ";"yattsu ; yatsu";"delapan, usia delapan tahun, jam dua (sistem waktu lama)"
"山";"yama ; san ; zan ; mure";"gunung; bukit, tambang (misalnya tambang batu bara), timbunan; tumpukan, mahkota (dari topi); benang (dari sekrup); tapak (dari ban); bagian yang menonjol dari suatu benda; bagian tinggi, klimaks; puncak; titik kritis, tebak; spekulasi; perjudian, kasus pidana; kejahatan, pendakian gunung, pelampung festival (khususnya yang dipasang dengan tombak dekoratif), dek (kartu remi di atas meja, menghadap ke bawah, dari mana kartu diambil); tumpukan, dinding; ubin dinding, kuil; pekarangan kuil, liar ; gunung, Gunung"
"やる";"yaru";"melakukan; untuk melakukan; untuk bermain (permainan); untuk belajar, untuk mengirim, menempatkan; untuk bergerak; untuk memutar (kepala, pandangan sekilas, dll.), memberi (khususnya kepada seseorang yang statusnya setara atau lebih rendah); untuk membiarkan; untuk menyajikan; untuk melimpahkan; untuk berunding, untuk membuat (kendaraan) melaju lebih cepat, untuk menjalankan (bisnis); untuk menjaga; untuk terlibat; untuk berlatih (hukum, kedokteran, dll.); berlatih, memiliki (makanan, minuman, dsb.); untuk makan; untuk minum; merokok, mengadakan (pertunjukan); untuk melakukan; untuk menunjukkan, untuk menenangkan (pikiran seseorang), untuk menyakiti; melukai; membunuh, berhubungan seks, untuk hidup; untuk bertahan hidup; bergaul, melakukan... sepenuhnya, melakukan... secara luas; melakukan... dalam jarak yang sangat jauh, melakukan... untuk (seseorang yang statusnya setara atau lebih rendah); untuk melakukan... untuk, melakukan upaya aktif untuk... ; untuk melakukan seseorang; untuk menabrak seseorang ; untuk melakukan; bermain; untuk beraksi ; untuk berhubungan seks dengannya"
"ゆうがた";"yuugata";"malam; senja"
"ゆうはん";"yuuhan";"makan malam ; setengah lagi dari unit yang ditentukan ; baroni tingkat pertama, klan feodal yang berpengaruh"
"ゆうびんきょく";"yuubinkyoku";"kantor Pos"
"ゆうべ";"yuube";"malam, tadi malam; kemarin sore"
"ゆうめい";"yuumei";"terkenal, ketenaran ; ketenaran (karena keberanian seseorang); sangat terkenal ; setengah gulita; dalam dan aneh; neraka; dunia saat ini dan dunia lain; gelap dan terang"
